ProductName,Description,Product Image,Product Cateogy Name,Model Number,Serial Number,StockLevel,ReorderPoint,Supplier Name,Supplier Mail,Supplier  Contact,Order Date,Quantity,Order Status,Year,Month,Day,Day Name,Month Name,Valid Supplier Email
Cisco ISR 1101,ISR 1101 4 Ports GE Ethernet WAN Router,No Image Available,Router,XYZ123,6a38028c-6a71-4f44-b8f6-253bc7086a0a,500,150,Cisco,abcd@mail.com,1234567890,2023-01-15,500,Deliverd,2023,1,15,Sunday,January,True
HP 5406zl,HP ProCurve Switch 5406zl,No Image Available,Switch,ABC456,7edc108e-45e0-4997-bc59-17852d16b689,300,100,HP,abhp@mail.com,1980762345,2023-11-05,300,Deliverd,2023,11,5,Sunday,November,True
DOCSIS 3.1 Cable Modem,Superfast speeds up to 10 gigabits per second (Gbps),modem.jpg,Modem,LMN789,e41e2e16-2945-4c0c-a584-48935742fe94,200,50,Netgear,Neger@mail.com,9256476541,2023-08-06,200,Deliverd,2023,8,6,Sunday,August,True
Cellular Duplexer Rx,A multiplexer product that is RoHS6 compliant ,No Image Available,Multiplexer,DSC423,6aac9135-9ceb-4535-a13a-fc04ad8dadd5,200,50,Broadcom,brcom@mail.com,1759731673,2023-05-16,200,Deliverd,2023,5,16,Tuesday,May,True
SBB100 Splitter Trough Block, Splitter block  with copper-aluminium monopiece connector,splitter.jpg,Splitter,BGH678,b01f5fea-f863-441e-9150-c5595caa9f01,400,75,BELL,blee@mail.com,1256476893,2023-10-06,400,Deliverd,2023,10,6,Friday,October,True
Proximity Card,A contactless smart card ,card.jpg,Card,DCH987,52778604-d2a0-490d-9a13-9888fa56ab6b,500,150,Cardcom,cdcom@mail.com,1314732575,2023-09-06,500,Deliverd,2023,9,6,Wednesday,September,True
DOCSIS 3.0 16x4 (CM500),A High Speed Cable Modem,No Image Available,Modem,VBN697,4a278cee-1b80-403b-a36a-3dfcdfe41d6c,300,100,Netgear,Neger@mail.com,9256476541,2023-07-23,300,Deliverd,2023,7,23,Sunday,July,True
DOCSIS 3.1 Cable Modem (CM1100) ,A Nighthawk Multi-Gig Cable Modem,No Image Available,Modem,MKL921,dd5ecf3b-5877-4c5b-9c0f-cb8c6f295300,400,75,Netgear,Neger@mail.com,9256476541,2023-08-21,400,Deliverd,2023,8,21,Monday,August,True
CMOS 40G Serial Mux,A serial multiplex/demultiplex  chipset that is CMOS-based,No Image Available,Multiplexer,DCM123,86f11167-b85a-4f90-9b97-cc6fd58ff043,300,100,Broadcom,brcom@mail.com,1759731674,2023-05-12,300,Deliverd,2023,5,12,Friday,May,True
DOCSIS 3.0 24x8 Cable Modem (CM600),A NETGEAR High Speed 960Mbps Cable Modem,No Image Available,Modem,KHN834,8f939ea3-4cf3-4d93-8804-715c2985e2fc,200,50,Netgear,Neger@mail.com,9256476541,2023-09-18,200,Deliverd,2023,9,18,Monday,September,True
RF Combiner,A two-way combiner,No Image Available,Combiner,CMB354,8a83f58d-4fdd-46e5-9875-70ff3ade604c,300,75,Synergy,synerg@mail.com,7865434960,2023-07-19,300,Deliverd,2023,7,19,Wednesday,July,True
Cisco ISR 1100,Integrated Services Router,No Image Available,Router,XYZ124,116c7388-78b3-496c-a242-283f07762f4f,500,150,Cisco,abcd@mail.com,1234567890,2023-03-15,500,Deliverd,2023,3,15,Wednesday,March,True
HP 5400zl,HP ProCurve Switch 5400zl,No Image Available,Switch,ABC457,7f8809c5-55b6-493b-8368-a84c0cef5d9f,400,100,HP,abhp@mail.com,1980762345,2023-12-05,400,Deliverd,2023,12,5,Tuesday,December,True
DOCSIS 3.0 Cable Modem,A High Speed Cable Modem,modem.jpg,Modem,LMN790,2dab1be5-9235-4c4d-a2fa-82a185a5656e,200,50,Netgear,Neger@mail.com,9256476541,2023-08-16,200,Deliverd,2023,8,16,Wednesday,August,True
WR90 Duplexer,RF waveguide duplexer ,No Image Available,Multiplexer,DSC424,51536b90-e402-4f9c-807a-c8469bf1519d,200,50,Broadcom,brcom@mail.com,1759731673,2023-05-16,200,Deliverd,2023,5,16,Tuesday,May,True
PLC Splitter,Integrated waveguide optical power distribution device,splitter.jpg,Splitter,BGH679,95d2af07-0e80-479b-aa90-3472cd23a627,400,75,BELL,blee@mail.com,1256476894,2023-10-26,400,Deliverd,2023,10,26,Thursday,October,True
RFID Card,Radio-Frequency Identification Card,card.jpg,Card,DCH988,19f6b8d4-0523-4e66-81d3-efd3ae948d0e,500,150,Cardcom,cdcom@mail.com,1314732576,2023-09-16,500,Deliverd,2023,9,16,Saturday,September,True
DOCSIS 3.0 16x4 (CM501),A High Speed Cable Modem,No Image Available,Modem,VBN698,4ca869ea-304c-4886-b51c-7276a0441841,300,100,Netgear,Neger@mail.com,9256476541,2023-07-13,300,Deliverd,2023,7,13,Thursday,July,True
